Country,Set,Model,MASE,sMAPE,MSE,RMSE,MAPE,PI_Coverage_80
DE,Dev,SARIMA,0.6080946304017495,5.23822730477155,14413334.982395612,3796.489823823529,5.305724450113909,86.6468253968254
DE,Test,SARIMA,0.5393971464576631,5.191054750830479,12221093.94274458,3495.868124335439,5.268802477294697,90.35714285714286
DE,Dev,GRU,0.6262882424182505,4.913358041421087,13407678.230413955,3661.649659704483,4.805903160265541,
DE,Test,GRU,0.5235572920817557,4.647284603315097,12071225.831325551,3474.366968431163,4.503493047321518,
FR,Dev,SARIMA,0.8279265562530849,4.595505344179916,12307129.107131084,3508.1518078799104,4.56437421886031,72.73809523809524
FR,Test,SARIMA,0.7053197793584736,4.8415042068047915,12032238.941037158,3468.751784293185,4.982235024010681,80.5952380952381
FR,Dev,GRU,0.7526059981593652,4.08728015146822,8859930.943057848,2976.563613138118,4.01841951865689,
FR,Test,GRU,0.5690997361531058,3.972548247255326,8444757.38487158,2905.986473621579,4.090337059214006,
ES,Dev,SARIMA,0.7217395500281882,4.678799277062185,3388526.3751409547,1840.7950388734089,4.762675997805419,76.21031746031746
ES,Test,SARIMA,0.6374986825128713,4.521544685359535,2456041.0045211776,1567.1761242825191,4.577421693466088,78.75
ES,Dev,GRU,0.6498304394656247,3.971245159265998,2386614.4390575937,1544.8671266674016,3.8894593903969,
ES,Test,GRU,0.6638662626254341,4.6315772222377145,2434457.3279510564,1560.2747604031338,4.6384774943575025,
